State Code,FIPS County Code,County Name,Metal Level,Issuer Name,Plan Type,Rating Area,Premium Adult Individual Age 21,Medical Deductible - Individual - Standard,Medical Maximum Out Of Pocket - Individual - Standard
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$568.87,"$3,000","$7,000"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$369.16,"$5,800","$7,000"
AK,2020,Anchorage,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$486.20,"$1,500","$6,300"
AK,2020,Anchorage,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$370.00,"$6,350","$8,550"
AK,2050,Bethel,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$486.87,"$1,500","$6,300"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$560.42,"$4,500","$7,700"
AK,2050,Bethel,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$370.65,"$6,350","$8,550"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$568.87,"$3,000","$7,000"
AK,2050,Bethel,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$369.16,"$5,800","$7,000"
AK,2050,Bethel,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$486.20,"$1,500","$6,300"
AK,2050,Bethel,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$370.00,"$6,350","$8,550"
AK,2060,Bristol Bay,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2060,Bristol Bay,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2060,Bristol Bay,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2060,Bristol Bay,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2060,Bristol Bay,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2060,Bristol Bay,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2060,Bristol Bay,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2063,Chugach,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$486.87,"$1,500","$6,300"
AK,2063,Chugach,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$560.42,"$4,500","$7,700"
AK,2063,Chugach,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$370.65,"$6,350","$8,550"
AK,2063,Chugach,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$568.87,"$3,000","$7,000"
AK,2063,Chugach,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$369.16,"$5,800","$7,000"
AK,2063,Chugach,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$486.20,"$1,500","$6,300"
AK,2063,Chugach,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$370.00,"$6,350","$8,550"
AK,2066,Copper River,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$486.87,"$1,500","$6,300"
AK,2066,Copper River,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$560.42,"$4,500","$7,700"
AK,2066,Copper River,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$370.65,"$6,350","$8,550"
AK,2066,Copper River,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$568.87,"$3,000","$7,000"
AK,2066,Copper River,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$369.16,"$5,800","$7,000"
AK,2066,Copper River,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$486.20,"$1,500","$6,300"
AK,2066,Copper River,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$370.00,"$6,350","$8,550"
AK,2068,Denali,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2068,Denali,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2068,Denali,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2068,Denali,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2068,Denali,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2068,Denali,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2068,Denali,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2070,Dillingham,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$486.87,"$1,500","$6,300"
AK,2070,Dillingham,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$560.42,"$4,500","$7,700"
AK,2070,Dillingham,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$370.65,"$6,350","$8,550"
AK,2070,Dillingham,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$568.87,"$3,000","$7,000"
AK,2070,Dillingham,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$369.16,"$5,800","$7,000"
AK,2070,Dillingham,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$486.20,"$1,500","$6,300"
AK,2070,Dillingham,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 1,$370.00,"$6,350","$8,550"
AK,2090,Fairbanks North Star,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2090,Fairbanks North Star,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2090,Fairbanks North Star,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2090,Fairbanks North Star,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2090,Fairbanks North Star,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2090,Fairbanks North Star,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2090,Fairbanks North Star,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2100,Haines,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$467.40,"$1,500","$6,300"
AK,2100,Haines,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$538.00,"$4,500","$7,700"
AK,2100,Haines,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.82,"$6,350","$8,550"
AK,2100,Haines,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$546.12,"$3,000","$7,000"
AK,2100,Haines,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$354.39,"$5,800","$7,000"
AK,2100,Haines,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$466.75,"$1,500","$6,300"
AK,2100,Haines,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.20,"$6,350","$8,550"
AK,2105,Hoonah Angoon,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$467.40,"$1,500","$6,300"
AK,2105,Hoonah Angoon,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$538.00,"$4,500","$7,700"
AK,2105,Hoonah Angoon,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.82,"$6,350","$8,550"
AK,2105,Hoonah Angoon,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$546.12,"$3,000","$7,000"
AK,2105,Hoonah Angoon,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$354.39,"$5,800","$7,000"
AK,2105,Hoonah Angoon,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$466.75,"$1,500","$6,300"
AK,2105,Hoonah Angoon,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.20,"$6,350","$8,550"
AK,2110,Juneau,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$467.40,"$1,500","$6,300"
AK,2110,Juneau,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$538.00,"$4,500","$7,700"
AK,2110,Juneau,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.82,"$6,350","$8,550"
AK,2110,Juneau,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$546.12,"$3,000","$7,000"
AK,2110,Juneau,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$354.39,"$5,800","$7,000"
AK,2110,Juneau,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$466.75,"$1,500","$6,300"
AK,2110,Juneau,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.20,"$6,350","$8,550"
AK,2122,Kenai Peninsula,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2122,Kenai Peninsula,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2122,Kenai Peninsula,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2122,Kenai Peninsula,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2122,Kenai Peninsula,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2122,Kenai Peninsula,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2122,Kenai Peninsula,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2130,Ketchikan Gateway,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$467.40,"$1,500","$6,300"
AK,2130,Ketchikan Gateway,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$538.00,"$4,500","$7,700"
AK,2130,Ketchikan Gateway,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.82,"$6,350","$8,550"
AK,2130,Ketchikan Gateway,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$546.12,"$3,000","$7,000"
AK,2130,Ketchikan Gateway,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$354.39,"$5,800","$7,000"
AK,2130,Ketchikan Gateway,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$466.75,"$1,500","$6,300"
AK,2130,Ketchikan Gateway,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.20,"$6,350","$8,550"
AK,2150,Kodiak Island,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2150,Kodiak Island,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2150,Kodiak Island,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2150,Kodiak Island,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2150,Kodiak Island,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2150,Kodiak Island,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2150,Kodiak Island,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2158,Kusilvak,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2158,Kusilvak,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2158,Kusilvak,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2158,Kusilvak,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2158,Kusilvak,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2158,Kusilvak,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2158,Kusilvak,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2164,Lake And Peninsula,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2164,Lake And Peninsula,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2164,Lake And Peninsula,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2164,Lake And Peninsula,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2164,Lake And Peninsula,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2164,Lake And Peninsula,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2164,Lake And Peninsula,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2170,Matanuska Susitna,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2170,Matanuska Susitna,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2170,Matanuska Susitna,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2170,Matanuska Susitna,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2170,Matanuska Susitna,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2170,Matanuska Susitna,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2170,Matanuska Susitna,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2180,Nome,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2180,Nome,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2180,Nome,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2180,Nome,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2180,Nome,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2180,Nome,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2180,Nome,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2185,North Slope,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2185,North Slope,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2185,North Slope,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2185,North Slope,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2185,North Slope,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2185,North Slope,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2185,North Slope,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2188,Northwest Arctic,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2188,Northwest Arctic,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2188,Northwest Arctic,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2188,Northwest Arctic,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2188,Northwest Arctic,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2188,Northwest Arctic,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2188,Northwest Arctic,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2195,Petersburg,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$467.40,"$1,500","$6,300"
AK,2195,Petersburg,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$538.00,"$4,500","$7,700"
AK,2195,Petersburg,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.82,"$6,350","$8,550"
AK,2195,Petersburg,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$546.12,"$3,000","$7,000"
AK,2195,Petersburg,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$354.39,"$5,800","$7,000"
AK,2195,Petersburg,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$466.75,"$1,500","$6,300"
AK,2195,Petersburg,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.20,"$6,350","$8,550"
AK,2198,Prince Of Wales Hyder,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$467.40,"$1,500","$6,300"
AK,2198,Prince Of Wales Hyder,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$538.00,"$4,500","$7,700"
AK,2198,Prince Of Wales Hyder,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.82,"$6,350","$8,550"
AK,2198,Prince Of Wales Hyder,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$546.12,"$3,000","$7,000"
AK,2198,Prince Of Wales Hyder,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$354.39,"$5,800","$7,000"
AK,2198,Prince Of Wales Hyder,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$466.75,"$1,500","$6,300"
AK,2198,Prince Of Wales Hyder,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.20,"$6,350","$8,550"
AK,2220,Sitka,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$467.40,"$1,500","$6,300"
AK,2220,Sitka,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$538.00,"$4,500","$7,700"
AK,2220,Sitka,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.82,"$6,350","$8,550"
AK,2220,Sitka,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$546.12,"$3,000","$7,000"
AK,2220,Sitka,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$354.39,"$5,800","$7,000"
AK,2220,Sitka,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$466.75,"$1,500","$6,300"
AK,2220,Sitka,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.20,"$6,350","$8,550"
AK,2230,Skagway,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$467.40,"$1,500","$6,300"
AK,2230,Skagway,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$538.00,"$4,500","$7,700"
AK,2230,Skagway,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.82,"$6,350","$8,550"
AK,2230,Skagway,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$546.12,"$3,000","$7,000"
AK,2230,Skagway,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$354.39,"$5,800","$7,000"
AK,2230,Skagway,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$466.75,"$1,500","$6,300"
AK,2230,Skagway,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.20,"$6,350","$8,550"
AK,2240,Southeast Fairbanks,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2240,Southeast Fairbanks,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2240,Southeast Fairbanks,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
AK,2240,Southeast Fairbanks,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$574.56,"$3,000","$7,000"
AK,2240,Southeast Fairbanks,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$372.85,"$5,800","$7,000"
AK,2240,Southeast Fairbanks,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.06,"$1,500","$6,300"
AK,2240,Southeast Fairbanks,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$373.70,"$6,350","$8,550"
AK,2275,Wrangell,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$467.40,"$1,500","$6,300"
AK,2275,Wrangell,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$538.00,"$4,500","$7,700"
AK,2275,Wrangell,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.82,"$6,350","$8,550"
AK,2275,Wrangell,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$546.12,"$3,000","$7,000"
AK,2275,Wrangell,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$354.39,"$5,800","$7,000"
AK,2275,Wrangell,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$466.75,"$1,500","$6,300"
AK,2275,Wrangell,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 3,$355.20,"$6,350","$8,550"
AK,2282,Yakutat,Gold,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$491.74,"$1,500","$6,300"
AK,2282,Yakutat,Silver,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$566.02,"$4,500","$7,700"
AK,2282,Yakutat,Expanded Bronze,Premera Blue Cross Blue Shield of Alaska,PPO,Rating Area 2,$374.36,"$6,350","$8,550"
